Model,Params (M),GFLOPs,Infer time (ms),mAP50 (test),mAP50-95 (test)
YOLOv5n,21.78,,7.55,0.7796,0.434
YOLOv5s,21.78,,7.54,0.7857,0.4304
YOLOv5m,21.78,,9.87,0.8294,0.4709
YOLOv8n,21.78,,6.93,0.814,0.4605
YOLOv8s,21.78,,6.97,0.8212,0.4416
YOLOv8m,21.78,,8.94,0.8138,0.4302
YOLOv9t,21.78,,16.95,0.8411,0.4713
YOLOv9s,21.78,,18.02,0.8484,0.4848
YOLOv9m,21.78,,15.54,0.8277,0.4512
YOLOv10n,21.78,,8.88,0.8006,0.4422
YOLOv10s,21.78,,9.88,0.7583,0.434
YOLOv10m,21.78,,12.82,0.7829,0.4454
YOLO11n,21.78,,9.84,0.8256,0.4492
YOLO11s,21.78,,10.13,0.8001,0.4344
YOLO11m,21.78,,12.68,0.8064,0.4218
YOLO12n,21.78,,15.71,0.8061,0.4581
YOLO12s,21.78,,16.14,0.7877,0.4381
YOLO12m,21.78,,16.99,0.779,0.4218
YOLO26n,21.78,,12.29,0.7939,0.4374
YOLO26s,21.78,,12.73,0.8079,0.4386
YOLO26m,21.78,,13.77,0.8073,0.4306
