session_id,time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,stability,weed_class,confidence,n_boxes,infer_ms,fps_inst
SESSION_001_NorthField,0.0,-0.1668,0.1014,10.4112,0.0501,0.2334,-0.0559,1.0,Foxtail,0.945,2,18.94,52.79
SESSION_001_NorthField,0.033,0.1893,0.4976,10.1779,0.0058,0.1375,0.0443,0.9008,Redroot_Pigweed,0.7721,2,21.48,46.55
SESSION_001_NorthField,0.067,0.3007,0.3927,9.9461,0.1212,0.0818,-0.017,0.92,Giant_Ragweed,0.6376,1,20.26,49.37
SESSION_001_NorthField,0.1,0.4836,0.3034,10.0407,0.312,-0.0944,-0.1499,0.8587,Cocklebur,0.8181,1,20.83,48.01
SESSION_001_NorthField,0.133,0.2613,0.2537,10.0503,0.1045,0.0073,-0.0491,0.8602,Cocklebur,0.723,2,20.02,49.94
SESSION_001_NorthField,0.167,0.2266,0.2878,9.6126,0.0929,-0.0277,-0.0673,0.8661,,0.0,0,21.1,47.39
SESSION_001_NorthField,0.2,0.1245,0.1131,9.7483,0.0344,-0.0883,-0.1839,0.8774,Redroot_Pigweed,0.748,1,20.88,47.9
SESSION_001_NorthField,0.233,-0.0595,-0.0387,9.2843,0.0032,-0.1029,0.0369,0.8796,Cocklebur,0.7952,2,19.21,52.07
SESSION_001_NorthField,0.267,-0.4573,-0.341,9.2406,-0.0329,-0.1209,0.0013,0.8844,,0.0,0,19.28,51.88
SESSION_001_NorthField,0.3,-0.0563,0.2181,9.163,-0.0973,-0.0287,-0.1171,0.8907,,0.0,0,20.37,49.1
SESSION_001_NorthField,0.333,-0.1759,-0.4127,9.5884,-0.123,0.0739,0.0861,0.8963,Giant_Ragweed,0.6118,3,21.19,47.19
SESSION_001_NorthField,0.367,-0.5754,-0.2579,9.5817,-0.1624,0.0378,0.1188,0.9002,Foxtail,0.8736,1,22.64,44.18
SESSION_001_NorthField,0.4,-0.4004,-0.387,9.5742,-0.1173,-0.019,0.1785,0.9033,Redroot_Pigweed,0.7332,1,20.76,48.16
SESSION_001_NorthField,0.433,-0.3794,0.0379,9.8755,-0.0984,0.0244,0.0624,0.9045,,0.0,0,21.61,46.28
SESSION_001_NorthField,0.467,-0.2597,0.083,9.5005,-0.1683,0.175,0.139,0.9004,Redroot_Pigweed,0.7667,1,18.46,54.16
SESSION_001_NorthField,0.5,-0.3349,0.2681,10.3782,0.249,0.0408,0.0488,0.8992,,0.0,0,22.82,43.83
SESSION_001_NorthField,0.533,0.0342,-0.0408,10.2258,0.1521,0.1148,-0.0072,0.9002,Giant_Ragweed,0.5206,1,21.13,47.33
